海底總動員
腦筋急轉彎
動物方程市
玩具總動員
冰雪奇緣
魔髮奇緣
功夫熊貓
天外奇蹟
料理鼠王
馴龍高手
汽車總動員
怪獸電力公司
小小兵
馬達加斯加
史瑞克
瓦力
尖叫旅社
崖上的波妞
魔法公主
龍貓
神隱少女
貓的報恩
魔女宅急便
101忠狗
獅子王
借物少女艾莉提
超完美嬌妻
星際過客
變人
樂來樂愛你
曼哈頓練習曲
曼哈頓奇緣
搖滾教室
髮膠明星夢
K 歌情人
歌喉讚
修女也瘋狂
芝加哥
紅磨坊
歌舞青春
放牛班的春天
悲慘世界
In to the woods
夢幻女郎
舞孃俱樂部
Mama mia
走音天后
歌劇魅影
鑼鼓喧天
真善美
窈窕淑女
美女與野獸
剪刀手愛德華
三個傻瓜
海上鋼琴師
在深夜加油站遇見蘇格拉底
心靈捕手
忠犬小八
楚門的世界
天生一對
沒問題先生
姊姊的守護者
一路玩到掛
型男飛行日誌
美味關係
逆轉人生
我的名字叫可汗
金棧花大酒店
醉後大丈夫
阿公歐買尬
高年級實習生
戀愛沒有假期
婦仇者聯盟
愛情藥不藥
真愛繞圈圈
他其實沒那麼喜歡你
傲慢與偏見
鐵達尼號
航站情緣
穿著Prada的惡魔
全民情聖
麻雀變鳳凰
麻雀變公主
暮光之城
第六感生死戀
手札情緣
p.s. 我愛你
特務愛很大
27件禮服的秘密
好孕臨門
破處女王
麻辣女王
戀夏五百日
北極特快車
巧克力冒險工廠
蘇西的世界
王牌天神
命運好好玩
怪奇孤兒院
聖誕夜怪談
